NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 56 locations
DIMENSION : 56
TPRIZE : 26334
MIN_PRIZE : 10791
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 512 553
2 512 353
3 9 867
4 271 163
5 642 24
6 995 873
7 63 912
8 692 539
9 656 562
10 156 432
11 232 977
12 508 886
13 528 731
14 933 96
15 346 618
16 316 784
17 408 590
18 409 772
19 977 253
20 918 320
21 725 661
22 256 128
23 414 727
24 852 597
25 262 837
26 904 520
27 606 297
28 158 25
29 151 245
30 287 416
31 251 60
32 516 688
33 669 811
34 379 930
35 191 131
36 827 760
37 43 577
38 3 0
39 292 68
40 430 730
41 904 566
42 173 791
43 746 971
44 194 961
45 54 750
46 296 512
47 362 743
48 63 631
49 428 918
50 522 542
51 774 409
52 556 42
53 770 214
54 268 352
55 493 650
56 751 470
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 701 0.46
3 388 0.40
4 208 0.91
5 488 0.79
6 749 0.66
7 376 0.59
8 288 0.89
9 220 0.90
10 701 0.54
11 371 0.96
12 285 0.54
13 672 0.85
14 696 0.73
15 322 0.85
16 602 0.80
17 626 0.72
18 292 0.78
19 554 0.84
20 482 0.44
21 362 0.52
22 482 0.82
23 274 0.63
24 676 0.87
25 458 0.93
26 656 0.95
27 391 0.77
28 203 0.82
29 341 0.38
30 460 0.72
31 709 0.31
32 650 0.62
33 681 0.97
34 576 0.91
35 727 0.81
36 708 0.37
37 226 0.42
38 241 0.81
39 305 0.43
40 273 0.73
41 252 0.72
42 237 0.31
43 531 0.77
44 390 0.42
45 382 0.91
46 624 0.65
47 495 0.88
48 631 0.70
49 357 0.47
50 687 0.46
51 698 0.43
52 407 0.94
53 497 0.73
54 619 0.65
55 375 0.64
56 732 0.63
