NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 28 locations
DIMENSION : 28
TPRIZE : 14662
MIN_PRIZE : 5779
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 863 523
2 337 838
3 75 393
4 936 757
5 110 5
6 851 623
7 925 883
8 840 249
9 76 735
10 503 457
11 676 979
12 519 906
13 294 750
14 503 327
15 362 140
16 463 865
17 542 10
18 276 923
19 855 686
20 214 137
21 239 92
22 478 419
23 340 303
24 505 956
25 262 984
26 366 71
27 919 675
28 850 953
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 775 0.42
3 752 0.70
4 516 0.43
5 677 0.43
6 706 0.67
7 259 0.72
8 475 0.96
9 543 0.62
10 439 1.00
11 299 0.61
12 636 0.94
13 529 0.46
14 500 0.91
15 473 0.31
16 475 0.41
17 699 0.45
18 578 0.78
19 247 0.81
20 586 0.65
21 707 0.42
22 740 0.88
23 726 0.62
24 397 0.84
25 303 0.75
26 557 0.85
27 407 0.76
28 661 0.70
