NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 14 locations
DIMENSION : 14
TPRIZE : 6172
MIN_PRIZE : 2366
MIN_PROB : 0.70
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 382 348
2 638 501
3 125 577
4 296 762
5 347 417
6 970 952
7 892 632
8 696 129
9 486 631
10 49 959
11 58 417
12 575 790
13 245 355
14 842 440
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.00
2 256 0.52
3 734 0.59
4 441 0.58
5 438 0.33
6 677 0.39
7 212 0.68
8 595 0.70
9 337 0.96
10 560 0.37
11 692 0.75
12 634 0.99
13 252 0.91
14 344 0.71
